PhraseId,SentenceId,Phrase,Sentiment,Phrase(origin),Sentiment(predict),Difference(Phrase),Difference(Sentence),Idx,Keywords
82700,4270,one of the biggest disappointments of the year,1,one of the biggest disappointments of the year,4,3,2.625,82700,"['biggest', 'of', 'of the', 'one', 'one of', 'the', 'the biggest', 'the year', 'year']"
82703,4270,the biggest disappointments,1,the biggest disappointments,2,1,2.625,82703,"['biggest', 'the', 'the biggest']"
82702,4270,the biggest disappointments of the year,1,the biggest disappointments of the year,2,1,2.625,82702,"['biggest', 'of', 'of the', 'the', 'the biggest', 'the year', 'year']"
82701,4270,of the biggest disappointments of the year,0,of the biggest disappointments of the year,2,2,2.625,82701,"['biggest', 'of', 'of the', 'the', 'the biggest', 'the year', 'year']"
82699,4270,is one of the biggest disappointments of the year,0,is one of the biggest disappointments of the year,4,4,2.625,82699,"['biggest', 'is', 'is one', 'of', 'of the', 'one', 'one of', 'the', 'the biggest', 'the year', 'year']"
82698,4270,is one of the biggest disappointments of the year .,0,is one of the biggest disappointments of the year .,4,4,2.625,82698,"['biggest', 'is', 'is one', 'of', 'of the', 'one', 'one of', 'the', 'the biggest', 'the year', 'year']"
82704,4270,biggest disappointments,0,biggest disappointments,2,2,2.625,82704,['biggest']
82697,4270,This is one of the biggest disappointments of the year .,0,This is one of the biggest disappointments of the year .,4,4,2.625,82697,"['biggest', 'is', 'is one', 'of', 'of the', 'one', 'one of', 'the', 'the biggest', 'the year', 'this', 'this is', 'year']"
113469,6031,below expectations,3,below expectations,2,1,2.25,113469,"['below', 'expectations']"
113468,6031,is well below expectations,1,is well below expectations,3,2,2.25,113468,"['below', 'expectations', 'is', 'is well', 'well']"
113467,6031,is well below expectations .,0,is well below expectations .,3,3,2.25,113467,"['below', 'expectations', 'is', 'is well', 'well']"
113466,6031,Below is well below expectations .,0,Below is well below expectations .,3,3,2.25,113466,"['below', 'expectations', 'is', 'is well', 'well']"
39924,1908,"no charm , no laughs",0,"no charm , no laughs",3,3,2.1538461538461537,39924,"['charm', 'laughs', 'no']"
39925,1908,"no charm ,",1,"no charm ,",3,2,2.1538461538461537,39925,"['charm', 'no']"
39926,1908,no charm,1,no charm,3,2,2.1538461538461537,39926,"['charm', 'no']"
39928,1908,no fun,1,no fun,3,2,2.1538461538461537,39928,"['fun', 'no']"
39929,1908,no reason to watch,0,no reason to watch,1,1,2.1538461538461537,39929,"['no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39930,1908,reason to watch,2,reason to watch,2,0,2.1538461538461537,39930,"['reason', 'reason to', 'to', 'to watch', 'watch']"
39927,1908,no laughs,1,no laughs,2,1,2.1538461538461537,39927,"['laughs', 'no']"
39923,1908,"no charm , no laughs ,",0,"no charm , no laughs ,",3,3,2.1538461538461537,39923,"['charm', 'laughs', 'no']"
39921,1908,"no charm , no laughs , no fun ,",0,"no charm , no laughs , no fun ,",3,3,2.1538461538461537,39921,"['charm', 'fun', 'laughs', 'no']"
39920,1908,"no charm , no laughs , no fun , no reason to watch",1,"no charm , no laughs , no fun , no reason to watch",3,2,2.1538461538461537,39920,"['charm', 'fun', 'laughs', 'no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39919,1908,"no charm , no laughs , no fun , no reason to watch .",0,"no charm , no laughs , no fun , no reason to watch .",3,3,2.1538461538461537,39919,"['charm', 'fun', 'laughs', 'no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39918,1908,"... no charm , no laughs , no fun , no reason to watch .",0,"... no charm , no laughs , no fun , no reason to watch .",3,3,2.1538461538461537,39918,"['charm', 'fun', 'laughs', 'no', 'no reason', 'reason', 'reason to', 'to', 'to watch', 'watch']"
39922,1908,"no charm , no laughs , no fun",0,"no charm , no laughs , no fun",3,3,2.1538461538461537,39922,"['charm', 'fun', 'laughs', 'no']"
66976,3400,loved this film .,4,loved this film .,2,2,2.0,66976,"['film', 'loved', 'this', 'this film']"
150018,8170,a snore and,1,a snore and,2,1,2.0,150018,['and']
150017,8170,a snore and utter tripe,0,a snore and utter tripe,1,1,2.0,150017,"['and', 'tripe', 'utter']"
150016,8170,both a snore and utter tripe,2,both a snore and utter tripe,1,1,2.0,150016,"['and', 'both', 'tripe', 'utter']"
